1.29,-0.0045,1,2,15,-18573,-47732,-2.6712e+05
1.29,-0.0045,1,2,16,-17935,-46299,-2.6848e+05
1.29,-0.0045,1,2,17,-17356,-44992,-2.6927e+05
1.29,-0.0045,1,2,18,-16826,-43794,-2.6954e+05
1.29,-0.0045,1,2,19,-16340,-42691,-2.6934e+05
1.29,-0.0045,1,2,20,-15890,-41670,-2.6872e+05
1.29,-0.0045,1,3,1,-62809,-1.98e+05,-62811
1.29,-0.0045,1,3,2,-43986,-1.5289e+05,-1.0128e+05
1.29,-0.0045,1,3,3,-34867,-1.283e+05,-1.283e+05
1.29,-0.0045,1,3,4,-29337,-1.1231e+05,-1.487e+05
1.29,-0.0045,1,3,5,-25564,-1.0088e+05,-1.6468e+05
1.29,-0.0045,1,3,6,-22796,-92210,-1.7745e+05
1.29,-0.0045,1,3,7,-20660,-85350,-1.8778e+05
1.29,-0.0045,1,3,8,-18953,-79751,-1.9616e+05
1.29,-0.0045,1,3,9,-17549,-75072,-2.0296e+05
1.29,-0.0045,1,3,10,-16369,-71089,-2.0845e+05
1.29,-0.0045,1,3,11,-15361,-67644,-2.1282e+05
1.29,-0.0045,1,3,12,-14487,-64628,-2.1624e+05
1.29,-0.0045,1,3,13,-13720,-61959,-2.1882e+05
1.29,-0.0045,1,3,14,-13040,-59574,-2.2068e+05
1.29,-0.0045,1,3,15,-12431,-57428,-2.2188e+05
1.29,-0.0045,1,3,16,-11884,-55483,-2.2252e+05
1.29,-0.0045,1,3,17,-11387,-53708,-2.2263e+05
1.29,-0.0045,1,3,18,-10933,-52082,-2.2228e+05
1.29,-0.0045,1,3,19,-10517,-50584,-2.2151e+05
1.29,-0.0045,1,3,20,-10134,-49198,-2.2034e+05
1.29,-0.0045,1,4,1,-55224,-2.2744e+05,-55226
1.29,-0.0045,1,4,2,-37797,-1.7707e+05,-88877
1.29,-0.0045,1,4,3,-29336,-1.487e+05,-1.1231e+05
1.29,-0.0045,1,4,4,-24216,-1.2989e+05,-1.299e+05
1.29,-0.0045,1,4,5,-20733,-1.1629e+05,-1.4359e+05
1.29,-0.0045,1,4,6,-18185,-1.0588e+05,-1.5446e+05
1.29,-0.0045,1,4,7,-16226,-97596,-1.6317e+05
1.29,-0.0045,1,4,8,-14663,-90802,-1.7015e+05
1.29,-0.0045,1,4,9,-13383,-85106,-1.7572e+05
